,Playoffs,offense_completion_percentage,offense_ave_yards_gained_pass,offense_ave_yards_gained_run,defense_completion_percentage,defense_ave_yards_gained_pass,defense_ave_yards_gained_run,defense_success_rate_pass,defense_success_rate_run,offense_ave_epa_pass,offense_ave_epa_run,defense_ave_epa_pass,defense_ave_epa_run,offense_success_rate_pass,offense_success_rate_run,defense_n_interceptions,offense_ave_wpa_pass,offense_ave_wpa_run,defense_ave_wpa_pass,defense_ave_wpa_run,PD,W-L%,MoV,Strong_Start,SoS,SRS,OSRS,DSRS,Avg_Points_Allowed,Avg_Points_Scored,Avg_offense_success_rate
Playoffs,1.0,0.2863109014152011,0.3549390563076297,0.18182599730630436,-0.19535797297506394,-0.3009865515587525,-0.07066921352795635,-0.2477648885959048,-0.0711491532940567,0.38092540431943633,0.2090146697165996,-0.33728456376522153,-0.17030565563106986,0.39211442202277114,0.22228756713993678,0.21515836148958903,0.4143351203016966,0.31314918094886557,-0.30745356807997587,-0.2762621103092567,0.6778238670701257,0.8300307197230137,0.5191729875416159,0.28782790532715175,-0.1169440181916516,0.6107006818703004,0.4348234074033119,0.4135613266115897,-0.4164085267542982,0.46889368400607073,0.34687584268303073
offense_completion_percentage,0.2863109014152011,1.0,0.405039737993796,0.1629281929675393,0.10573506329399596,0.04248506102277795,0.1362339631190244,0.0702866984187789,0.15050473902654785,0.2723249616153234,0.20066971293606525,-0.004733235996752083,0.049484814967085754,0.48911243340959576,0.28340674976657315,-0.0053693207748838866,0.39425219001477946,0.26257083383089486,0.058584586798170905,0.010629399128718865,0.307758763835016,0.2676633324590549,0.208431070522899,0.1516691491379749,-0.044145914946140064,0.29810513395229876,0.33802497293046063,0.142657777563302,-0.07596583604940293,0.39485813639937545,0.4804538443606705
offense_ave_yards_gained_pass,0.3549390563076297,0.405039737993796,1.0,0.16345705931570836,0.07882991683398925,0.054608683129088245,0.11568342578959567,0.08265478148108221,0.15866580751930395,0.6208723298220972,0.15792542496311138,0.011055721441219869,0.061135596550672,0.6880651302549385,0.2944421124916803,0.018475059635526273,0.65923524313647,0.25431214948507486,0.07680730476149465,0.004328534017197831,0.4212755848948254,0.3788450293552927,0.33480545888671853,0.1944892478862553,-0.06260485924062167,0.34754036871894317,0.5753221474548375,0.04010614764254702,-0.011324458262571476,0.6165216227677376,0.5378543917458108
offense_ave_yards_gained_run,0.18182599730630436,0.1629281929675393,0.16345705931570836,1.0,0.12330152793949858,0.0679264232984398,0.11045003813882533,0.07999963091374224,0.15731127282030338,0.11944391650218066,0.5769455260179633,0.064743049608707,0.06370023249289715,0.11809161587221131,0.5017148280532726,-0.01594588749743846,0.13799146037389998,0.5204992087781232,0.08638100759840778,0.08677880353064504,0.214168810948831,0.19121416065634017,0.1491664108034937,0.03213299538647333,-0.06718923249945018,0.1543367085301827,0.20244604194227533,0.07419133885877091,0.02435802883900602,0.23717519036827042,0.3656586472272448
defense_completion_percentage,-0.19535797297506394,0.10573506329399596,0.07882991683398925,0.12330152793949858,1.0,0.4665828141605794,0.17905950299981238,0.664834525692821,0.2937524703172477,0.02849482937891197,0.07951718679054956,0.45618833008091403,0.2552467219581309,0.06799654064092138,0.09804716278619807,-0.20836544481369562,0.09698434029739314,0.08833307360917762,0.4240323688886311,0.2745486599832236,-0.2358351711219339,-0.2250945972407586,-0.159930547321847,-0.11773374310954542,0.010864674838474761,-0.2474257852680471,-0.0813167549520035,-0.26069528226587746,0.38159502909687854,-0.02495961873584653,0.12880582034879637
defense_ave_yards_gained_pass,-0.3009865515587525,0.04248506102277795,0.054608683129088245,0.0679264232984398,0.4665828141605794,1.0,0.2107839456535197,0.5591934182821489,0.23269178484015596,-0.0042963924922592486,-0.003890602199835274,0.6645803840771931,0.2597838054619582,0.007885957951030647,0.05164509317190347,-0.20871070830877214,0.05235742725525799,0.026602180214796763,0.5679851048471363,0.33245556757566314,-0.3282207071982546,-0.33478240312822827,-0.2830957034474248,-0.12362748045849009,0.019466004349575846,-0.3519844731281561,-0.10696925670467108,-0.47567361141857356,0.5680849625339619,-0.06425701688326868,0.07053209168070007
defense_ave_yards_gained_run,-0.07066921352795635,0.1362339631190244,0.11568342578959567,0.11045003813882533,0.17905950299981238,0.2107839456535197,1.0,0.2081036150566628,0.47952117888632667,0.08399571112883178,0.09767858485598911,0.14112092068621862,0.5148997010613983,0.12457871136294939,0.12266596016280455,-0.041504015589127204,0.1447958121433433,0.17887551465607698,0.19758124548676675,0.4408956386173028,-0.09495603472276938,-0.08718837197153359,-0.055865797200239826,0.006698493653641747,0.05450955243632436,-0.15455284115970333,0.06862643819164817,-0.20993267679989108,0.2689806653100147,0.09966932299683998,0.15577577562657624
defense_success_rate_pass,-0.2477648885959048,0.0702866984187789,0.08265478148108221,0.07999963091374224,0.664834525692821,0.5591934182821489,0.2081036150566628,1.0,0.29559228031162726,0.04020362775421027,0.07872059493321636,0.6138733001668866,0.29744544735847256,0.06624854053424863,0.07935446192274344,-0.22104018892770844,0.10062910300235804,0.05803260080555784,0.5281765501748443,0.30662887603716005,-0.2791873208846476,-0.2715953242416103,-0.22639117586565236,-0.08573489502182928,0.00985663082437276,-0.31878257422895,-0.08183635737489936,-0.4004387362926842,0.485494882750107,-0.03768769244099933,0.10511717756119444
defense_success_rate_run,-0.0711491532940567,0.15050473902654785,0.15866580751930395,0.15731127282030338,0.2937524703172477,0.23269178484015596,0.47952117888632667,0.29559228031162726,1.0,0.14657581016408863,0.1460096061435926,0.20734531919552462,0.5800938381795118,0.1395897350009916,0.12331966894233572,-0.12766961820845818,0.19739256247495743,0.20055560255134897,0.1660183292978978,0.48160461720052156,-0.06427842727222284,-0.08098732125468305,-0.09447456552925951,0.011309908665918569,-0.004334197658528259,-0.1266039057955192,0.057758942704645655,-0.17404706477082507,0.25520489091043413,0.10450258667996284,0.16360100385372747
offense_ave_epa_pass,0.38092540431943633,0.2723249616153234,0.6208723298220972,0.11944391650218066,0.02849482937891197,-0.0042963924922592486,0.08399571112883178,0.04020362775421027,0.14657581016408863,1.0,0.1616429003557992,-0.010660089824911354,0.07972675944163314,0.5391951931566848,0.24308758526632462,0.03413618862473929,0.6071853796405128,0.2407210592041555,0.010273632154383462,0.015564816733492658,0.4293899992303448,0.42162730303795665,0.43997756154478473,0.2610853567447248,-0.04888194387736579,0.33671158305506654,0.5091622421562865,0.09497021877698984,-0.06785056767703528,0.5111807584363524,0.4575277927236624
offense_ave_epa_run,0.2090146697165996,0.20066971293606525,0.15792542496311138,0.5769455260179633,0.07951718679054956,-0.003890602199835274,0.09767858485598911,0.07872059493321636,0.1460096061435926,0.1616429003557992,1.0,0.01801582262447299,0.05278409537028787,0.13596048844504738,0.5389332288837456,0.04838154990744285,0.17743885655441438,0.6386788244043348,0.03214780080308433,0.047409058958388525,0.2871216450332028,0.21401462250608688,0.214950728976958,0.07320999047860816,-0.04205415812972205,0.22311687279626202,0.2847441690527423,0.10468199405052914,-0.02536456369424632,0.31681597902342873,0.44644087112101966
defense_ave_epa_pass,-0.33728456376522153,-0.004733235996752083,0.011055721441219869,0.064743049608707,0.45618833008091403,0.6645803840771931,0.14112092068621862,0.6138733001668866,0.20734531919552462,-0.010660089824911354,0.01801582262447299,1.0,0.28452336524189226,0.0076008312082422496,0.07617463482498958,-0.3690327477087197,-0.0038221937110256487,0.02337237916755971,0.6336863243952806,0.2992526890305308,-0.3950373620783143,-0.38455563674657184,-0.33107187777390096,-0.1490542011585632,-0.009285692273556303,-0.46041984018873827,-0.16296366722096103,-0.4945017895820622,0.5721557697330528,-0.1351250842184355,0.06140245740758168
defense_ave_epa_run,-0.17030565563106986,0.049484814967085754,0.061135596550672,0.06370023249289715,0.2552467219581309,0.2597838054619582,0.5148997010613983,0.29744544735847256,0.5800938381795118,0.07972675944163314,0.05278409537028787,0.28452336524189226,1.0,0.05604624321650953,0.1131841290724279,-0.13708415930714546,0.08640935017775989,0.07069635815481663,0.19741216978204681,0.6328732222265755,-0.23053065086099958,-0.20127413361853658,-0.2031384460157426,-0.033681188043953446,0.023346008949647556,-0.2520966513330181,-0.024065050774756968,-0.3057099565516178,0.3454080081649858,-0.019635887299975643,0.12124335168034805
offense_success_rate_pass,0.39211442202277114,0.48911243340959576,0.6880651302549385,0.11809161587221131,0.06799654064092138,0.007885957951030647,0.12457871136294939,0.06624854053424863,0.1395897350009916,0.5391951931566848,0.13596048844504738,0.0076008312082422496,0.05604624321650953,1.0,0.30311343432866744,-0.040996906465650754,0.6408296298295151,0.2644857011811423,0.08502857440230552,0.014986647717203936,0.3844642985335127,0.38357493699158,0.3069247976046712,0.17263256918286493,-0.07260114031150534,0.3668732901417123,0.5096203197543404,0.10464014775778627,-0.03618259152368559,0.5945439692284227,0.6525414785940525
offense_success_rate_run,0.22228756713993678,0.28340674976657315,0.2944421124916803,0.5017148280532726,0.09804716278619807,0.05164509317190347,0.12266596016280455,0.07935446192274344,0.12331966894233572,0.24308758526632462,0.5389332288837456,0.07617463482498958,0.1131841290724279,0.30311343432866744,1.0,-0.07511650980470773,0.25549014203210524,0.5275123942132288,0.10269966195872332,0.10014996353003472,0.27470262408067037,0.21094179386374123,0.19374410299781156,0.08040360978804999,-0.030673790445880488,0.22594952285320583,0.3380941970337018,0.059662869979958025,0.046620126428452376,0.3432874655727997,0.6402205622298256
defense_n_interceptions,0.21515836148958903,-0.0053693207748838866,0.018475059635526273,-0.01594588749743846,-0.20836544481369562,-0.20871070830877214,-0.041504015589127204,-0.22104018892770844,-0.12766961820845818,0.03413618862473929,0.04838154990744285,-0.3690327477087197,-0.13708415930714546,-0.040996906465650754,-0.07511650980470773,1.0,0.02677202000223956,0.0063616101601412685,-0.3309875630117568,-0.1921896958811917,0.278607450687648,0.25164332312096194,0.27204139201174576,0.1478701983536719,0.008300180404564442,0.2966431167541048,0.15403970582248247,0.2638580744552756,-0.26226839528619283,0.12713659496918117,-0.04982166084060049
offense_ave_wpa_pass,0.4143351203016966,0.39425219001477946,0.65923524313647,0.13799146037389998,0.09698434029739314,0.05235742725525799,0.1447958121433433,0.10062910300235804,0.19739256247495743,0.6071853796405128,0.17743885655441438,-0.0038221937110256487,0.08640935017775989,0.6408296298295151,0.25549014203210524,0.02677202000223956,1.0,0.26271566877707514,0.08926190774091283,0.022515126551130568,0.4223669313469204,0.46055642727076557,0.30439392823736333,0.21758863157575034,-0.06731271079211787,0.3720370361258533,0.5205920962350994,0.09150217700969696,-0.04505745162280491,0.5420089458537969,0.4981261740913666
offense_ave_wpa_run,0.31314918094886557,0.26257083383089486,0.25431214948507486,0.5204992087781232,0.08833307360917762,0.026602180214796763,0.17887551465607698,0.05803260080555784,0.20055560255134897,0.2407210592041555,0.6386788244043348,0.02337237916755971,0.07069635815481663,0.2644857011811423,0.5275123942132288,0.0063616101601412685,0.26271566877707514,1.0,0.031242417571329124,0.052018122004677106,0.30966146409546524,0.30520787356775414,0.249516514266034,0.09724664672545633,-0.02586520895632329,0.236009600252206,0.3392981445671072,0.09911736656607105,-0.0048306644116272255,0.37854033890974187,0.49837014867960994
defense_ave_wpa_pass,-0.30745356807997587,0.058584586798170905,0.07680730476149465,0.08638100759840778,0.4240323688886311,0.5679851048471363,0.19758124548676675,0.5281765501748443,0.1660183292978978,0.010273632154383462,0.03214780080308433,0.6336863243952806,0.19741216978204681,0.08502857440230552,0.10269966195872332,-0.3309875630117568,0.08926190774091283,0.031242417571329124,1.0,0.23854770397475167,-0.26992713843593774,-0.3066663160993553,-0.1968051058085137,-0.1634909660038867,-0.00790165946965639,-0.33036200326619486,-0.058571713039906194,-0.43124232763948706,0.4929740871601765,-0.021672751778804508,0.12059734040574988
defense_ave_wpa_run,-0.2762621103092567,0.010629399128718865,0.004328534017197831,0.08677880353064504,0.2745486599832236,0.33245556757566314,0.4408956386173028,0.30662887603716005,0.48160461720052156,0.015564816733492658,0.047409058958388525,0.2992526890305308,0.6328732222265755,0.014986647717203936,0.10014996353003472,-0.1921896958811917,0.022515126551130568,0.052018122004677106,0.23854770397475167,1.0,-0.2804306673414361,-0.31187775491228564,-0.2690016682756908,-0.043990483268565875,0.04645112221964531,-0.3148368730719911,-0.08124396244539392,-0.33532096228204755,0.41686114073206465,-0.06368421963814058,0.07885062353449039
PD,0.6778238670701257,0.307758763835016,0.4212755848948254,0.214168810948831,-0.2358351711219339,-0.3282207071982546,-0.09495603472276938,-0.2791873208846476,-0.06427842727222284,0.4293899992303448,0.2871216450332028,-0.3950373620783143,-0.23053065086099958,0.3844642985335127,0.27470262408067037,0.278607450687648,0.4223669313469204,0.30966146409546524,-0.26992713843593774,-0.2804306673414361,1.0,0.7505400217211091,0.6119249196426744,0.2692037050542815,-0.1008176436527894,0.6805228278804589,0.5906925271281886,0.46251307236671824,-0.4615565364945936,0.6313684969882836,0.36706423113044634
W-L%,0.8300307197230137,0.2676633324590549,0.3788450293552927,0.19121416065634017,-0.2250945972407586,-0.33478240312822827,-0.08718837197153359,-0.2715953242416103,-0.08098732125468305,0.42162730303795665,0.21401462250608688,-0.38455563674657184,-0.20127413361853658,0.38357493699158,0.21094179386374123,0.25164332312096194,0.46055642727076557,0.30520787356775414,-0.3066663160993553,-0.31187775491228564,0.7505400217211091,1.0,0.5489492812287806,0.27875280476498454,-0.10247903611212739,0.6350654523443483,0.49793165121948363,0.4530399319205348,-0.45318564781689885,0.5307267720124753,0.3254066821091045
MoV,0.5191729875416159,0.208431070522899,0.33480545888671853,0.1491664108034937,-0.159930547321847,-0.2830957034474248,-0.055865797200239826,-0.22639117586565236,-0.09447456552925951,0.43997756154478473,0.214950728976958,-0.33107187777390096,-0.2031384460157426,0.3069247976046712,0.19374410299781156,0.27204139201174576,0.30439392823736333,0.249516514266034,-0.1968051058085137,-0.2690016682756908,0.6119249196426744,0.5489492812287806,1.0,0.2470694125522839,-0.07478079564793041,0.4164288767657554,0.48411829126884165,0.3382396284919082,-0.33810989385428775,0.4670835347557745,0.27970016907854295
